item_type,item,axis1,axis2,group_label,item_display
landform,LF_CLASS::凹地・浅い谷,-0.10771235366329208,-0.3128603831517119,凹地・浅い谷,凹地・浅い谷
landform,LF_CLASS::台地・段丘,-0.24317821662681982,-0.026589918666010483,台地・段丘,台地・段丘
landform,LF_CLASS::山地斜面等,0.2197769200848825,-0.05124921939590914,山地斜面等,山地斜面等
landform,LF_CLASS::山麓堆積地形,0.34393849178562896,0.25100755306558686,山麓堆積地形,山麓堆積地形
landform,LF_CLASS::崖・段丘崖,-0.4736495055854342,0.23524214191669524,崖・段丘崖,崖・段丘崖
landform,LF_CLASS::後背低地・湿地,-0.03854341580042189,0.2997344810567818,後背低地・湿地,後背低地・湿地
landform,LF_CLASS::扇状地,0.17785002123243174,0.6667180452817295,扇状地,扇状地
landform,LF_CLASS::旧水部,-1.81081906676093,0.7082119001255714,旧水部,旧水部
landform,LF_CLASS::旧河道,-0.16064055263559143,0.6301974628395083,旧河道,旧河道
landform,LF_CLASS::水部,0.20273605780430404,-0.369650807044499,水部,水部
landform,LF_CLASS::氾濫平野・海岸平野,0.13748434108351104,0.16745401548922073,氾濫平野・海岸平野,氾濫平野・海岸平野
landform,LF_CLASS::砂州・砂丘,0.0728548026681692,0.6722386035199812,砂州・砂丘,砂州・砂丘
landform,LF_CLASS::自然堤防,-0.02241358382456156,0.7941212042585011,自然堤防,自然堤防
