No.,政令指定市,公開状況,公開形式,ダウンロード・二次利用,公式ページ・地図
1,札幌市,○,市PDF遺跡地図、北海道WebGIS・オープンデータ,◎ 市PDFは保存可。北海道データはSHP、GeoPackage、APIで提供され、CC BYによる利用が可能,札幌市 埋蔵文化財包蔵地分布図／北海道オープンデータ (札幌市)
2,仙台市,○,仙台市都市計画情報WebGIS、宮城県オープンデータ,◎ 宮城県が包蔵地データをSHP、CC BY 4.0で提供。仙台市域を含む,仙台市 埋蔵文化財の確認／宮城県遺跡地図情報 (仙台市公式サイト)
3,さいたま市,○,市WebGIS「さいたま市地図情報」,—／要確認 一括GISデータの公開を確認できず。著作権・利用条件は市の規約に従う,さいたま市 埋蔵文化財包蔵地の確認 (さいたま市)
4,千葉市,○,千葉県WebGIS「ちば情報マップ」、市窓口照会,— 市域の包蔵地は県WebGISで閲覧可能。一括GISデータの現行公開は確認できず,千葉市 埋蔵文化財の取扱い／ちば情報マップ (千葉市公式サイト)
5,横浜市,○,市WebGIS「文化財ハマSite」,— GISデータの一括ダウンロードを確認できず,横浜市 埋蔵文化財に関する手続／文化財ハマSite (横浜市ポータルサイト)
6,川崎市,○,市WebGIS「ガイドマップかわさき」,— 包蔵地レイヤーの一括ダウンロードを確認できず,川崎市 埋蔵文化財の確認 (川崎市公式サイト)
7,相模原市,○,市WebGIS「さがみはら地図情報」、遺跡一覧,— GISデータの一括公開を確認できず,相模原市 埋蔵文化財包蔵地／さがみはら地図情報 (相模原市公式サイト)
8,新潟市,△,市WebGIS、CSV・KMLオープンデータ,◎〔位置情報のみ〕 遺跡位置はCSV・KML、CC BY 2.1日本で利用可能。ただし包蔵地の正確な範囲ポリゴンは含まれず、窓口地図での確認が必要,新潟市 遺跡分布／遺跡オープンデータ (新潟市)
9,静岡市,○,市WebGIS「しずマップ」、PDFオープンデータ,○〔PDF〕 遺跡地図PDFをCC BYで利用可能。包蔵地のGISベクトルデータは確認できず,しずマップ／静岡市遺跡地図オープンデータ (静岡市)
10,浜松市,△,市刊行の紙地図、静岡県WebGISによる参考確認,— 市の公式包蔵地地図は紙媒体で閲覧・購入。市独自のGISデータ公開は確認できず,浜松市 埋蔵文化財の取扱い／浜松市刊行物／静岡県GIS (浜松市公式サイト)
11,名古屋市,△,市刊行の紙地図、愛知県WebGISによる参考確認,— 名古屋市の遺跡地図は窓口閲覧・販売が中心。市独自のオンライン包蔵地範囲データは確認できず,名古屋市 埋蔵文化財包蔵地分布図／愛知県文化財マップ (名古屋市公式サイト)
12,京都市,○,市WebGIS「京都市遺跡地図」,— GISデータの一括公開を確認できず。変更箇所についてはPDF等が掲載される場合あり,京都市 遺跡地図 (京都市情報館)
13,大阪市,○,大阪府WebGIS「大阪府地図情報システム」,— 大阪市が府WebGISを包蔵地確認手段として案内。一括GISデータの公開を確認できず,大阪市 埋蔵文化財包蔵地の確認／大阪府地図情報システム (大阪市公式サイト)
14,堺市,○,市WebGIS「堺市e-地図帳」,×／要許諾 GISデータの提供を確認できず、地図情報の無断複製・譲渡等を禁止,堺市e-地図帳・埋蔵文化財 (堺市e-地図帳)
15,神戸市,○,市WebGIS「神戸市情報マップ」,— 包蔵地レイヤーの一括ダウンロードを確認できず,神戸市 埋蔵文化財包蔵地の確認／神戸市情報マップ (神戸市ホームページ)
16,岡山市,○,岡山県WebGIS、県オープンデータカタログ,○ 遺跡の位置情報をオープンデータとして公開。原則として公共データ利用規約1.0が適用され、加工・二次利用可能。包蔵地範囲ポリゴンかどうかは個別確認が必要,おかやま全県統合型GIS／埋蔵文化財オープンデータ (岡山市公式サイト)
17,広島市,○,広島県公開のPDF遺跡地図、市への照会,△ PDF保存は可能。GISベクトルデータおよび明示的なオープンライセンスは確認できず,広島県 市町別遺跡地図／広島市 埋蔵文化財の照会 (広島市公式ホームページ)
18,北九州市,○,市ArcGIS WebGIS「遺跡分布地図」,— 公式WebGISで包蔵地を閲覧可能。一括データのダウンロード・オープンライセンスは確認できず,北九州市 埋蔵文化財調査に関する手続 (北九州市公式サイト)
19,福岡市,○,市WebGIS「福岡市Webまっぷ」,×／要許諾 GISベクトルデータの公開を確認できず。地図情報の複製・二次利用は利用規約の範囲内に限定,福岡市Webまっぷ・埋蔵文化財／利用規約 (福岡市Webまっぷ)
20,熊本市,○,市WebGIS「熊本市地図情報サービス」,— 包蔵地範囲を閲覧可能。市域データの一括ダウンロードは確認できず。熊本県の包蔵地オープンデータは熊本市域を対象外としている,熊本市 埋蔵文化財包蔵地の確認 (熊本市公式サイト)
