No.,都道府県,公開状況,公開形式,ダウンロード・二次利用,公式ページ・地図
1,北海道,○,WebGIS、オープンデータ,◎ SHP、GeoPackage、API。CC BY,北の遺跡案内／オープンデータ
2,青森県,○,PDF遺跡地図,△ PDF保存可。二次利用条件は要確認,青森県遺跡地図
3,岩手県,○,WebGIS、オープンデータ,◎ SHP。CC BY 4.0,岩手県の埋蔵文化財／いわて遺跡地図
4,宮城県,○,WebGIS、オープンデータ,◎ SHP。CC BY 4.0、改変・再配布可,宮城県遺跡地図情報
5,秋田県,○,WebGIS,— GISデータの公開を確認できず,秋田県遺跡地図情報
6,山形県,○,ArcGIS WebGIS,○ GISエクスポート機能あり。利用規約確認,山形の宝マップ
7,福島県,×,—,—,県域一括の公式ウェブ遺跡地図を確認できず
8,茨城県,○,WebGIS,△ 過去にオープンデータ公開実績あり。現行データURL要確認,いばらきデジタルまっぷ
9,栃木県,×,—,—,県域一括の公式ウェブ遺跡地図を確認できず
10,群馬県,○,WebGIS,△ 過去にオープンデータ公開実績あり。現行データURL要確認,マッピングぐんま／県案内
11,埼玉県,○,HTML、地図画像,× 無断転載・複製禁止,埼玉県埋蔵文化財情報公開ページ
12,千葉県,○,WebGIS,△ 過去にオープンデータ公開実績あり。現行データURL要確認,ちば情報マップ
13,東京都,○,WebGIS,× GISデータ提供なし。無断コピー・複製禁止,東京都遺跡地図情報
14,神奈川県,△,WebGIS、文化財防災マップ,— 全包蔵地を網羅する行政地図とは確認できず,e-かなマップ
15,新潟県,○,PDF地図、遺跡一覧,△ PDF等保存可。加工・再配布に制限あり,新潟県の遺跡地図・一覧表
16,富山県,○,WebGIS、オープンデータ,◎ SHP。CC BY。ただしデータ時点に注意,富山県GIS／埋蔵文化財SHP
17,石川県,○,WebGIS、文化財DB,— GISデータの公開を確認できず,いしかわ文化財ナビ
18,福井県,○,WebGIS,— GISデータの公開を確認できず,福井県埋蔵文化財遺跡地図
19,山梨県,×,—,—,県域一括の公式ウェブ遺跡地図を確認できず
20,長野県,×,—,—,県域一括公開を確認できず。市町村単位の公開あり
21,岐阜県,△,WebGIS,— 発掘調査済み遺跡等が中心で、全包蔵地図ではない,県域統合型GISぎふ
22,静岡県,○,WebGIS,— GISデータの公開あり,静岡県統合基盤GIS／県案内
23,愛知県,○,WebGIS,— 包蔵地レイヤーの一括取得を確認できず,愛知県文化財マップ
24,三重県,×,—,—,県域一括の公式ウェブ遺跡地図を確認できず
25,滋賀県,×,—,—,県域一括の公式ウェブ遺跡地図を確認できず
26,京都府,○,WebGIS,— GISデータの公開を確認できず,京都府・市町村共同GIS 遺跡マップ
27,大阪府,○,WebGIS,— GISデータの公開を確認できず,大阪府地図情報システム案内／地図システム
28,兵庫県,○,地図画像、PDF、Excel,△ 地名表等を取得可。空間データ・オープンライセンスではない,兵庫県遺跡地図
29,奈良県,○,WebGIS,— GISデータの公開を確認できず,奈良県遺跡地図Web
30,和歌山県,○,WebGIS、オープンデータ,◎ CSV、SHP、KML、GeoJSON。CC BY 4.0,埋蔵文化財包蔵地所在地図／オープンデータ
31,鳥取県,○,WebGIS,— GISデータの公開を確認できず,鳥取県遺跡地図案内／とっとりWebマップ
32,島根県,○,WebGIS,×／要許諾 無断複製・販売・譲渡等に制限,マップonしまね・遺跡マップ
33,岡山県,○,WebGIS、オープンデータカタログ,○ 位置情報データ取得可。個別ライセンス確認,おかやま全県統合型GIS／オープンデータ
34,広島県,○,PDF、地図画像、一覧表,△ 保存可。複製・転載条件は要確認,広島県遺跡地図
35,山口県,△,遺跡情報Webサイト,— 県埋蔵文化財センター調査遺跡等が中心,やまぐちの遺跡
36,徳島県,△,遺跡情報Webサイト,— 国指定史跡等の代表的遺跡が中心,とくしま遺跡ナビ
37,香川県,○,PDF遺跡地図,△ PDF保存可。二次利用条件は要確認,香川県遺跡地図
38,愛媛県,×,—,—,県域一括の公式ウェブ遺跡地図を確認できず
39,高知県,×,—,—,県域一括の公式ウェブ遺跡地図を確認できず
40,福岡県,×,—,—,県域一括の公式ウェブ遺跡地図を確認できず
41,佐賀県,○,PDF地図、PDF遺跡一覧,△ PDF保存可。二次利用条件は要確認,佐賀県遺跡地図
42,長崎県,○,独自WebGIS、遺跡DB,— GISデータの一括公開を確認できず,長崎県遺跡地図
43,熊本県,○,WebGIS、オープンデータ,○ GeoJSON取得可。データカタログ利用条件に従う,熊本県遺跡地図／GeoJSON
44,大分県,×,—,—,県域一括の公式ウェブ遺跡地図を確認できず
45,宮崎県,×,—,—,県域一括の公式ウェブ遺跡地図を確認できず
46,鹿児島県,△,遺跡DB、分布図,— 発掘・報告済み遺跡情報が中心,埋蔵文化財情報DB／分布図
47,沖縄県,○,WebGIS、オープンデータ,◎ SHP、QGISデータ。CC BY 4.0,沖縄県地図情報システム／県内遺跡地図データ
