tile_z,tile_x,tile_y,tile_key,gsi_tile_url,cache_file,download_status,read_status,n_features,tile_available
14,14517,6445,14/14517/6445,https://cyberjapandata.gsi.go.jp/xyz/experimental_landformclassification1/14/14517/6445.geojson,gsi_landform_cache/z14/z14_x14517_y6445.geojson,download_failed,not_read,,FALSE
14,14517,6446,14/14517/6446,https://cyberjapandata.gsi.go.jp/xyz/experimental_landformclassification1/14/14517/6446.geojson,gsi_landform_cache/z14/z14_x14517_y6446.geojson,download_failed,not_read,,FALSE
14,14518,6446,14/14518/6446,https://cyberjapandata.gsi.go.jp/xyz/experimental_landformclassification1/14/14518/6446.geojson,gsi_landform_cache/z14/z14_x14518_y6446.geojson,download_failed,not_read,,FALSE
14,14519,6445,14/14519/6445,https://cyberjapandata.gsi.go.jp/xyz/experimental_landformclassification1/14/14519/6445.geojson,gsi_landform_cache/z14/z14_x14519_y6445.geojson,download_failed,not_read,,FALSE
14,14519,6446,14/14519/6446,https://cyberjapandata.gsi.go.jp/xyz/experimental_landformclassification1/14/14519/6446.geojson,gsi_landform_cache/z14/z14_x14519_y6446.geojson,download_failed,not_read,,FALSE
14,14519,6449,14/14519/6449,https://cyberjapandata.gsi.go.jp/xyz/experimental_landformclassification1/14/14519/6449.geojson,gsi_landform_cache/z14/z14_x14519_y6449.geojson,download_failed,not_read,,FALSE
14,14520,6445,14/14520/6445,https://cyberjapandata.gsi.go.jp/xyz/experimental_landformclassification1/14/14520/6445.geojson,gsi_landform_cache/z14/z14_x14520_y6445.geojson,download_failed,not_read,,FALSE
14,14520,6449,14/14520/6449,https://cyberjapandata.gsi.go.jp/xyz/experimental_landformclassification1/14/14520/6449.geojson,gsi_landform_cache/z14/z14_x14520_y6449.geojson,download_failed,not_read,,FALSE
14,14521,6444,14/14521/6444,https://cyberjapandata.gsi.go.jp/xyz/experimental_landformclassification1/14/14521/6444.geojson,gsi_landform_cache/z14/z14_x14521_y6444.geojson,download_failed,not_read,,FALSE
14,14521,6445,14/14521/6445,https://cyberjapandata.gsi.go.jp/xyz/experimental_landformclassification1/14/14521/6445.geojson,gsi_landform_cache/z14/z14_x14521_y6445.geojson,download_failed,not_read,,FALSE
