uid,t,method,query_lon,query_lat,success,returned_uids,item_count,attribute_count,error
1539-1430,中区NO.15,center,139.662519454345,35.413109687005,0,1539-1430|1540-1430,0,0,
1539-1430,中区NO.15,segment_75,139.662502874509,35.4131040390037,0,1539-1430|1540-1430,0,0,
1539-1430,中区NO.15,segment_50,139.662486294672,35.4130983910025,0,1539-1430|1540-1430,0,0,
1539-1430,中区NO.15,segment_25,139.662469714836,35.4130927430013,0,1539-1430|1540-1430,0,0,
1539-1430,中区NO.15,center_N5,139.662519454345,35.4131546025637,0,1539-1430|1540-1430,0,0,
1539-1430,中区NO.15,center_E5,139.662574565783,35.413109687005,0,1539-1430|1540-1430,0,0,
1539-1430,中区NO.15,center_S5,139.662519454345,35.4130647714463,0,1539-1430|1540-1430,0,0,
1539-1430,中区NO.15,center_W5,139.662464342907,35.413109687005,0,1539-1430|1540-1430,0,0,
1539-1430,中区NO.15,segment_50_N5,139.662486294672,35.4131433065612,0,1539-1430|1540-1430,0,0,
1539-1430,中区NO.15,segment_50_E5,139.662541406102,35.4130983910025,0,1539-1430|1540-1430,0,0,
1539-1430,中区NO.15,segment_50_S5,139.662486294672,35.4130534754438,0,1539-1430|1540-1430,0,0,
1539-1430,中区NO.15,segment_50_W5,139.662431183243,35.4130983910025,0,1539-1430|1540-1430,0,0,
2411-1430,中区NO.25,center,139.647294321143,35.4464074667535,0,,0,0,
2411-1430,中区NO.25,segment_75,139.647302125857,35.4463267438151,0,,0,0,
2411-1430,中区NO.25,segment_50,139.647309930572,35.4462460208767,0,,0,0,
2411-1430,中区NO.25,segment_25,139.647317735286,35.4461652979384,0,,0,0,
2411-1430,中区NO.25,center_N5,139.647294321143,35.4464523823122,1,2411-1430,12,12,
2415-1430,中区NO.29,center,139.654167809683,35.434559440219,0,1528-1430|2415-1430,0,0,
2415-1430,中区NO.29,segment_75,139.654183534762,35.4345481689142,0,1528-1430|2415-1430,0,0,
2415-1430,中区NO.29,segment_50,139.654199259842,35.4345368976095,0,1528-1430|2415-1430,0,0,
2415-1430,中区NO.29,segment_25,139.654214984921,35.4345256263047,0,1528-1430|2415-1430,0,0,
2415-1430,中区NO.29,center_N5,139.654167809683,35.4346043557777,0,1528-1430|2415-1430,0,0,
2415-1430,中区NO.29,center_E5,139.654222935798,35.434559440219,0,1528-1430|2415-1430,0,0,
2415-1430,中区NO.29,center_S5,139.654167809683,35.4345145246603,0,1528-1430|2415-1430,0,0,
2415-1430,中区NO.29,center_W5,139.654112683568,35.434559440219,0,1528-1430|2415-1430,0,0,
2415-1430,中区NO.29,segment_50_N5,139.654199259842,35.4345818131682,0,1528-1430|2415-1430,0,0,
2415-1430,中区NO.29,segment_50_E5,139.654254385941,35.4345368976095,0,1528-1430|2415-1430,0,0,
2415-1430,中区NO.29,segment_50_S5,139.654199259842,35.4344919820508,0,1528-1430|2415-1430,0,0,
2415-1430,中区NO.29,segment_50_W5,139.654144133742,35.4345368976095,0,1528-1430|2415-1430,0,0,
2061-1430,保土ヶ谷区NO.10,center,139.602339541748,35.4778626410239,1,2061-1430,12,12,
2074-1430,保土ヶ谷区NO.22,center,139.574991714337,35.4655136973562,1,2074-1430,12,12,
