column_name,used_for_continuity,used_for_em_only_exclusion,used_as_metadata,note
JASID,FALSE,FALSE,TRUE,ID・表示・地図化用メタデータ
LGC,FALSE,FALSE,TRUE,ID・表示・地図化用メタデータ
Site_no,FALSE,FALSE,TRUE,ID・表示・地図化用メタデータ
SiteName_furigana,FALSE,FALSE,TRUE,ID・表示・地図化用メタデータ
SiteName_original,FALSE,FALSE,TRUE,ID・表示・地図化用メタデータ
Address,FALSE,FALSE,TRUE,ID・表示・地図化用メタデータ
Chronology,FALSE,FALSE,TRUE,ID・表示・地図化用メタデータ
SiteType,FALSE,FALSE,TRUE,ID・表示・地図化用メタデータ
ArchaeologicalFeatures,FALSE,FALSE,TRUE,ID・表示・地図化用メタデータ
MajorArtefacts,FALSE,FALSE,TRUE,ID・表示・地図化用メタデータ
Lon,FALSE,FALSE,TRUE,ID・表示・地図化用メタデータ
Lat,FALSE,FALSE,TRUE,ID・表示・地図化用メタデータ
Unnamed: 12,FALSE,FALSE,FALSE,不使用
Pa,TRUE,TRUE,FALSE,連続性判定に使用
Jo,TRUE,TRUE,FALSE,連続性判定に使用
Ya,TRUE,TRUE,FALSE,連続性判定に使用
Ko,TRUE,TRUE,FALSE,連続性判定に使用
As,FALSE,TRUE,FALSE,EMのみ地点の除外判定にのみ使用。連続性判定には不使用。
An,FALSE,TRUE,FALSE,EMのみ地点の除外判定にのみ使用。連続性判定には不使用。
Na,TRUE,TRUE,FALSE,連続性判定に使用
He,TRUE,TRUE,FALSE,連続性判定に使用
Me,TRUE,TRUE,FALSE,連続性判定に使用
Ka,FALSE,TRUE,FALSE,EMのみ地点の除外判定にのみ使用。連続性判定には不使用。
Nb,FALSE,TRUE,FALSE,EMのみ地点の除外判定にのみ使用。連続性判定には不使用。
Mu,FALSE,TRUE,FALSE,EMのみ地点の除外判定にのみ使用。連続性判定には不使用。
Se,FALSE,TRUE,FALSE,EMのみ地点の除外判定にのみ使用。連続性判定には不使用。
EM,FALSE,TRUE,FALSE,EMのみ地点の除外判定に使用。連続性判定には不使用。
AM,FALSE,TRUE,FALSE,EMのみ地点の除外判定にのみ使用。連続性判定には不使用。
Ed,FALSE,TRUE,FALSE,EMのみ地点の除外判定にのみ使用。連続性判定には不使用。
Md,FALSE,TRUE,FALSE,EMのみ地点の除外判定にのみ使用。連続性判定には不使用。
Pr,FALSE,TRUE,FALSE,EMのみ地点の除外判定にのみ使用。連続性判定には不使用。
Un,FALSE,TRUE,FALSE,EMのみ地点の除外判定にのみ使用。連続性判定には不使用。
