place_id,SiteType,Chronology,Pa,Jo,Ya,Ko,Na,He,Me,site_type_tokens,has_special_site_type_flag,has_special_function_site_type,special_site_type_class
13101002200,集落・城館,[旧石器時代][縄文時代（早期〜後期）][弥生時代][古墳時代][中世][近世],1,1,1,1,0,0,1,集落;城館,TRUE,TRUE,special_function
13101003000,城館・石橋,[近世][近代],0,0,0,0,0,0,0,城館;石橋,TRUE,TRUE,special_function
13101005200,城館・屋敷・その他（道）,[近世][近代],0,0,0,0,0,0,0,城館;屋敷;その他（道）,TRUE,TRUE,special_function
13101007500,包蔵地・城館・屋敷,[平安時代][近世],0,0,0,0,0,1,0,包蔵地;城館;屋敷,TRUE,TRUE,special_function
13103000700,城館,[中世],0,0,0,0,0,0,1,城館,TRUE,TRUE,special_function
13103001500,城館,[中世],0,0,0,0,0,0,1,城館,TRUE,TRUE,special_function
13103001700,城館,[中世],0,0,0,0,0,0,1,城館,TRUE,TRUE,special_function
13103006700,包蔵地　城館　屋敷,[縄文時代（早～後）][中世][近世],0,1,0,0,0,0,1,包蔵地;城館;屋敷,TRUE,TRUE,special_function
13103008700,包蔵地 社寺 その他の墓,[中世][近世],0,0,0,0,0,0,1,包蔵地;社寺;その他の墓,TRUE,FALSE,multiple_special_site_types
13103015600,包蔵地・墳墓・屋敷,[縄文時代][弥生時代][古墳時代][奈良時代][平安時代][中世][近世],0,1,1,1,1,1,1,包蔵地;墳墓;屋敷,TRUE,FALSE,multiple_special_site_types
13104000600,横穴墓,[奈良時代],0,0,0,0,1,0,0,横穴墓,TRUE,FALSE,kofun_mortuary
13104001600,その他の墓・城館・社寺・その他（町屋）,[中世][近世],0,0,0,0,0,0,1,その他の墓;城館;社寺;その他（町屋）,TRUE,TRUE,multiple_special_site_types
13104001800,集落・城館・屋敷・その他の墓,[縄文時代][弥生時代（後期）][古墳時代][中世][近世],0,1,1,1,0,0,1,集落;城館;屋敷;その他の墓,TRUE,TRUE,multiple_special_site_types
13104002800,城館・社寺,[中世][近世],0,0,0,0,0,0,1,城館;社寺,TRUE,TRUE,special_function
13104003700,包蔵地・社寺・その他の墓,[縄文時代（早期・中期）][近世],0,1,0,0,0,0,0,包蔵地;社寺;その他の墓,TRUE,FALSE,multiple_special_site_types
13104004000,包蔵地・城館,[縄文時代（前期〜後期）][近世],0,1,0,0,0,0,0,包蔵地;城館,TRUE,TRUE,special_function
13104006700,包蔵地・その他の墓・社寺・その他（暗渠下水）,[縄文時代（早期〜前期）][中世][近世][近代],0,1,0,0,0,0,1,包蔵地;その他の墓;社寺;その他（暗渠下水）,TRUE,FALSE,multiple_special_site_types
13104006900,包蔵地・社寺・その他の墓,[縄文時代（早期〜中期）][近世],0,1,0,0,0,0,0,包蔵地;社寺;その他の墓,TRUE,FALSE,multiple_special_site_types
13104009300,包蔵地・屋敷・社寺・その他の墓,[縄文時代（前期〜中期）][近世],0,1,0,0,0,0,0,包蔵地;屋敷;社寺;その他の墓,TRUE,FALSE,multiple_special_site_types
13104011700,包蔵地・社寺・その他の墓・屋敷・その他（町屋）,[縄文時代（前期〜後期）][近世],0,1,0,0,0,0,0,包蔵地;社寺;その他の墓;屋敷;その他（町屋）,TRUE,FALSE,multiple_special_site_types
13104014600,包蔵地・社寺・その他の墓,[縄文時代（中期〜後期）][近世],0,1,0,0,0,0,0,包蔵地;社寺;その他の墓,TRUE,FALSE,multiple_special_site_types
13105002500,集落・貝塚・その他の墓・屋敷,[旧石器時代][縄文時代][弥生時代（後期）][近世],1,1,1,0,0,0,0,集落;貝塚;その他の墓;屋敷,TRUE,FALSE,multiple_special_site_types
13105004700,包蔵地・集落・貝塚・その他の墓・社寺・屋敷・その他（町屋）,[旧石器時代][縄文時代][弥生時代][古墳時代][平安時代][近世],1,1,1,1,0,1,0,包蔵地;集落;貝塚;その他の墓;社寺;屋敷;その他（町屋）,TRUE,FALSE,multiple_special_site_types
13105011800,包蔵地・集落・その他の墓・社寺・屋敷・その他（町屋）,[縄文時代][古墳時代][奈良時代][平安時代][中世][近世],0,1,0,1,1,1,1,包蔵地;集落;その他の墓;社寺;屋敷;その他（町屋）,TRUE,FALSE,multiple_special_site_types
13105012900,包蔵地・集落・その他の墓・屋敷,［縄文時代］［弥生時代］［古墳時代］［奈良時代］［平安時代］［中世］［近世］,0,1,1,1,1,1,1,包蔵地;集落;その他の墓;屋敷,TRUE,FALSE,multiple_special_site_types
13105013100,包蔵地・集落・その他の墓・社寺・町家,［縄文時代（早期・中期）］［弥生時代］[古墳時代][奈良時代]［近世］,0,1,1,1,1,0,0,包蔵地;集落;その他の墓;社寺;町家,TRUE,FALSE,multiple_special_site_types
13106000401,包蔵地・集落・社寺・屋敷・その他の墓・その他（花卉園）,[旧石器時代][縄文時代（早期〜晩期）][弥生時代（後期）][古墳時代][奈良時代][平安時代][中世][近世][近代],1,1,1,1,1,1,1,包蔵地;集落;社寺;屋敷;その他の墓;その他（花卉園）,TRUE,FALSE,multiple_special_site_types
13106006900,集落・その他の墓・社寺・その他（町屋）,[古墳時代][奈良時代][平安時代][中世][近世],0,0,0,1,1,1,1,集落;その他の墓;社寺;その他（町屋）,TRUE,FALSE,multiple_special_site_types
13106011600,包蔵地・集落・その他の墓・その他（町屋）,[弥生時代][古墳時代][奈良時代][平安時代][中世][近世],0,0,1,1,1,1,1,包蔵地;集落;その他の墓;その他（町屋）,TRUE,FALSE,multiple_special_site_types
13109000700,城館,[中世],0,0,0,0,0,0,1,城館,TRUE,TRUE,special_function
13109001100,横穴墓,[奈良時代][平安時代],0,0,0,0,1,1,0,横穴墓,TRUE,FALSE,kofun_mortuary
13109001700,城館,[中世],0,0,0,0,0,0,1,城館,TRUE,TRUE,special_function
13109002100,城館,[中世],0,0,0,0,0,0,1,城館,TRUE,TRUE,special_function
13109002200,城館,[縄文時代（中期）],0,1,0,0,0,0,0,城館,TRUE,TRUE,special_function
13109002400,横穴墓,[古墳時代][奈良時代],0,0,0,1,1,0,0,横穴墓,TRUE,FALSE,kofun_mortuary
13110004500,城館,[中世],0,0,0,0,0,0,1,城館,TRUE,TRUE,special_function
13110004600,城館,[中世],0,0,0,0,0,0,1,城館,TRUE,TRUE,special_function
13111000200,古墳・集落,[縄文時代][弥生時代（後期）][古墳時代],0,1,1,1,0,0,0,古墳;集落,TRUE,FALSE,kofun_mortuary
13111000300,横穴墓,[古墳時代][奈良時代],0,0,0,1,1,0,0,横穴墓,TRUE,FALSE,kofun_mortuary
13111000400,横穴墓,[古墳時代][奈良時代],0,0,0,1,1,0,0,横穴墓,TRUE,FALSE,kofun_mortuary
13111000600,横穴墓,[古墳時代][奈良時代],0,0,0,1,1,0,0,横穴墓,TRUE,FALSE,kofun_mortuary
13111000700,横穴墓,[古墳時代][奈良時代],0,0,0,1,1,0,0,横穴墓,TRUE,FALSE,kofun_mortuary
13111003100,横穴墓,[古墳時代][奈良時代],0,0,0,1,1,0,0,横穴墓,TRUE,FALSE,kofun_mortuary
13111003200,横穴墓,[古墳時代][奈良時代],0,0,0,1,1,0,0,横穴墓,TRUE,FALSE,kofun_mortuary
13111003400,横穴墓,[古墳時代][奈良時代],0,0,0,1,1,0,0,横穴墓,TRUE,FALSE,kofun_mortuary
13111003700,横穴墓,[古墳時代][奈良時代],0,0,0,1,1,0,0,横穴墓,TRUE,FALSE,kofun_mortuary
13111003900,横穴墓,[古墳時代][奈良時代],0,0,0,1,1,0,0,横穴墓,TRUE,FALSE,kofun_mortuary
13111004000,横穴墓,[古墳時代][奈良時代],0,0,0,1,1,0,0,横穴墓,TRUE,FALSE,kofun_mortuary
13111004100,横穴墓,[古墳時代][奈良時代],0,0,0,1,1,0,0,横穴墓,TRUE,FALSE,kofun_mortuary
13111004200,横穴墓,[古墳時代][奈良時代],0,0,0,1,1,0,0,横穴墓,TRUE,FALSE,kofun_mortuary
13111004300,横穴墓,[古墳時代][奈良時代],0,0,0,1,1,0,0,横穴墓,TRUE,FALSE,kofun_mortuary
13111004400,横穴墓,[古墳時代][奈良時代],0,0,0,1,1,0,0,横穴墓,TRUE,FALSE,kofun_mortuary
13111004600,横穴墓,[古墳時代][奈良時代],0,0,0,1,1,0,0,横穴墓,TRUE,FALSE,kofun_mortuary
13111004700,横穴墓,[古墳時代][奈良時代],0,0,0,1,1,0,0,横穴墓,TRUE,FALSE,kofun_mortuary
13111004900,墳墓,[奈良時代][平安時代],0,0,0,0,1,1,0,墳墓,TRUE,FALSE,multiple_special_site_types
13111005700,集落・貝塚・その他の墓,[旧石器時代][縄文時代（早期〜前期）][弥生時代（後期）][古墳時代][平安時代],1,1,1,1,0,1,0,集落;貝塚;その他の墓,TRUE,FALSE,multiple_special_site_types
13111006100,横穴墓,[古墳時代][奈良時代],0,0,0,1,1,0,0,横穴墓,TRUE,FALSE,kofun_mortuary
13111006400,横穴墓,[古墳時代][奈良時代],0,0,0,1,1,0,0,横穴墓,TRUE,FALSE,kofun_mortuary
13111006800,横穴墓,[古墳時代][奈良時代],0,0,0,1,1,0,0,横穴墓,TRUE,FALSE,kofun_mortuary
13111007000,貝塚・城館,[奈良時代][平安時代][中世],0,0,0,0,1,1,1,貝塚;城館,TRUE,TRUE,special_function
13111007100,横穴墓,[古墳時代][平安時代],0,0,0,1,0,1,0,横穴墓,TRUE,FALSE,kofun_mortuary
13111007300,集落・貝塚・横穴墓,[弥生時代（中期〜後期）][古墳時代][奈良時代],0,0,1,1,1,0,0,集落;貝塚;横穴墓,TRUE,FALSE,kofun_mortuary
13111007900,横穴墓,[古墳時代][奈良時代],0,0,0,1,1,0,0,横穴墓,TRUE,FALSE,kofun_mortuary
13111008000,横穴墓,[古墳時代][奈良時代],0,0,0,1,1,0,0,横穴墓,TRUE,FALSE,kofun_mortuary
13111008200,墳墓,[奈良時代][平安時代],0,0,0,0,1,1,0,墳墓,TRUE,FALSE,multiple_special_site_types
13111008800,横穴墓,[古墳時代][奈良時代],0,0,0,1,1,0,0,横穴墓,TRUE,FALSE,kofun_mortuary
13111008900,横穴墓,[古墳時代][奈良時代],0,0,0,1,1,0,0,横穴墓,TRUE,FALSE,kofun_mortuary
13111009100,横穴墓,[古墳時代][奈良時代],0,0,0,1,1,0,0,横穴墓,TRUE,FALSE,kofun_mortuary
13111010800,墳墓,[奈良時代][平安時代],0,0,0,0,1,1,0,墳墓,TRUE,FALSE,multiple_special_site_types
13111010900,横穴墓,[古墳時代][奈良時代],0,0,0,1,1,0,0,横穴墓,TRUE,FALSE,kofun_mortuary
13111011100,横穴墓,[古墳時代][奈良時代],0,0,0,1,1,0,0,横穴墓,TRUE,FALSE,kofun_mortuary
13111011800,横穴墓,[古墳時代][奈良時代],0,0,0,1,1,0,0,横穴墓,TRUE,FALSE,kofun_mortuary
13111012000,横穴墓,[中世？],0,0,0,0,0,0,1,横穴墓,TRUE,FALSE,kofun_mortuary
13111012100,地下式横穴,[中世],0,0,0,0,0,0,1,地下式横穴,TRUE,FALSE,kofun_mortuary
13111012300,横穴墓,[古墳時代][奈良時代],0,0,0,1,1,0,0,横穴墓,TRUE,FALSE,kofun_mortuary
13111012400,横穴墓,[古墳時代][奈良時代],0,0,0,1,1,0,0,横穴墓,TRUE,FALSE,kofun_mortuary
13111012500,横穴墓,[古墳時代][奈良時代],0,0,0,1,1,0,0,横穴墓,TRUE,FALSE,kofun_mortuary
13111012700,居館跡,[中世],0,0,0,0,0,0,1,居館跡,TRUE,TRUE,special_function
13111012800,城館,[中世],0,0,0,0,0,0,1,城館,TRUE,TRUE,special_function
13111012900,居館跡,[中世],0,0,0,0,0,0,1,居館跡,TRUE,TRUE,special_function
