normalized_token,activity_domain,evidence_role,allowed_phases,active,note
集落,general_activity,explicit_general,Pa;Jo;Ya;Ko;Na;He;Me,TRUE,一般的な居住・集落・生業等の明示的証拠。複数時期にまたがる場合はSiteType単独では時期未確定。
集落跡,general_activity,explicit_general,Pa;Jo;Ya;Ko;Na;He;Me,TRUE,一般的な居住・集落・生業等の明示的証拠。複数時期にまたがる場合はSiteType単独では時期未確定。
貝塚,general_activity,explicit_general,Pa;Jo;Ya;Ko;Na;He;Me,TRUE,一般的な居住・集落・生業等の明示的証拠。複数時期にまたがる場合はSiteType単独では時期未確定。
屋敷,general_activity,explicit_general,Pa;Jo;Ya;Ko;Na;He;Me,TRUE,一般的な居住・集落・生業等の明示的証拠。複数時期にまたがる場合はSiteType単独では時期未確定。
屋敷跡,general_activity,explicit_general,Pa;Jo;Ya;Ko;Na;He;Me,TRUE,一般的な居住・集落・生業等の明示的証拠。複数時期にまたがる場合はSiteType単独では時期未確定。
町屋,general_activity,explicit_general,Pa;Jo;Ya;Ko;Na;He;Me,TRUE,一般的な居住・集落・生業等の明示的証拠。複数時期にまたがる場合はSiteType単独では時期未確定。
町屋跡,general_activity,explicit_general,Pa;Jo;Ya;Ko;Na;He;Me,TRUE,一般的な居住・集落・生業等の明示的証拠。複数時期にまたがる場合はSiteType単独では時期未確定。
町家,general_activity,explicit_general,Pa;Jo;Ya;Ko;Na;He;Me,TRUE,一般的な居住・集落・生業等の明示的証拠。複数時期にまたがる場合はSiteType単独では時期未確定。
民家跡,general_activity,explicit_general,Pa;Jo;Ya;Ko;Na;He;Me,TRUE,一般的な居住・集落・生業等の明示的証拠。複数時期にまたがる場合はSiteType単独では時期未確定。
その他(町屋),general_activity,explicit_general,Pa;Jo;Ya;Ko;Na;He;Me,TRUE,一般的な居住・集落・生業等の明示的証拠。複数時期にまたがる場合はSiteType単独では時期未確定。
その他(町人地),general_activity,explicit_general,Pa;Jo;Ya;Ko;Na;He;Me,TRUE,一般的な居住・集落・生業等の明示的証拠。複数時期にまたがる場合はSiteType単独では時期未確定。
その他(農村地),general_activity,explicit_general,Pa;Jo;Ya;Ko;Na;He;Me,TRUE,一般的な居住・集落・生業等の明示的証拠。複数時期にまたがる場合はSiteType単独では時期未確定。
その他(村落),general_activity,explicit_general,Pa;Jo;Ya;Ko;Na;He;Me,TRUE,一般的な居住・集落・生業等の明示的証拠。複数時期にまたがる場合はSiteType単独では時期未確定。
その他(村),general_activity,explicit_general,Pa;Jo;Ya;Ko;Na;He;Me,TRUE,一般的な居住・集落・生業等の明示的証拠。複数時期にまたがる場合はSiteType単独では時期未確定。
その他(百姓地),general_activity,explicit_general,Pa;Jo;Ya;Ko;Na;He;Me,TRUE,一般的な居住・集落・生業等の明示的証拠。複数時期にまたがる場合はSiteType単独では時期未確定。
水田跡,general_activity,explicit_general,Pa;Jo;Ya;Ko;Na;He;Me,TRUE,一般的な居住・集落・生業等の明示的証拠。複数時期にまたがる場合はSiteType単独では時期未確定。
その他(水田跡),general_activity,explicit_general,Pa;Jo;Ya;Ko;Na;He;Me,TRUE,一般的な居住・集落・生業等の明示的証拠。複数時期にまたがる場合はSiteType単独では時期未確定。
その他(水田),general_activity,explicit_general,Pa;Jo;Ya;Ko;Na;He;Me,TRUE,一般的な居住・集落・生業等の明示的証拠。複数時期にまたがる場合はSiteType単独では時期未確定。
その他(狩猟場),general_activity,explicit_general,Pa;Jo;Ya;Ko;Na;He;Me,TRUE,一般的な居住・集落・生業等の明示的証拠。複数時期にまたがる場合はSiteType単独では時期未確定。
その他(狩猟地 畑地),general_activity,explicit_general,Pa;Jo;Ya;Ko;Na;He;Me,TRUE,一般的な居住・集落・生業等の明示的証拠。複数時期にまたがる場合はSiteType単独では時期未確定。
包蔵地,,neutral,Pa;Jo;Ya;Ko;Na;He;Me,TRUE,土地利用の存在は示すが、activity domainを特定する積極的証拠には使わない。
単独出土地,,neutral,Pa;Jo;Ya;Ko;Na;He;Me,TRUE,土地利用の存在は示すが、activity domainを特定する積極的証拠には使わない。
出土地,,neutral,Pa;Jo;Ya;Ko;Na;He;Me,TRUE,土地利用の存在は示すが、activity domainを特定する積極的証拠には使わない。
その他,,neutral,Pa;Jo;Ya;Ko;Na;He;Me,TRUE,土地利用の存在は示すが、activity domainを特定する積極的証拠には使わない。
古墳,monument,specialized,Ko,TRUE,古墳時代の墳墓・モニュメントとして扱う。
古墳群,monument,specialized,Ko,TRUE,古墳時代の墳墓・モニュメントとして扱う。
横穴墓,monument,specialized,Ko,TRUE,古墳時代の墳墓・モニュメントとして扱う。
横穴墓群,monument,specialized,Ko,TRUE,古墳時代の墳墓・モニュメントとして扱う。
塚,monument,specialized,Me,TRUE,7期区分では中世のモニュメント候補として扱う。近世単独はEM-only除外側。
経塚,monument,specialized,Me,TRUE,7期区分では中世のモニュメント候補として扱う。近世単独はEM-only除外側。
方形周溝墓,monument,specialized,Ya;Ko,TRUE,弥生・古墳の双方があり得るため、観測時期が一意に絞れる場合のみ自動付与。
墳墓,monument,specialized,Ya;Ko;Me,TRUE,広義の墳墓。墓地・その他の墓とは分け、観測時期が一意の場合のみ自動付与。
官衙,institutional,specialized,Na;He,TRUE,奈良・平安の官衙。複数候補時期の場合は自動展開しない。
社寺,institutional,specialized,Na;He;Me,TRUE,寺社。旧石器・縄文・弥生・古墳への機械的展開を禁止。
社寺跡,institutional,specialized,Na;He;Me,TRUE,寺社。旧石器・縄文・弥生・古墳への機械的展開を禁止。
城館,institutional,specialized,Me,TRUE,7期区分では中世の城館・居館・関所等として扱う。
城館跡,institutional,specialized,Me,TRUE,7期区分では中世の城館・居館・関所等として扱う。
