itemId,status,ISEKI_NO,http_status,from_cache,message
15,recovered,343,200,0,OK
83,recovered,333,200,0,OK
94,recovered,340,200,0,OK
98,recovered,541,200,0,OK
110,recovered,380,200,0,OK
112,recovered,369,200,0,OK
115,recovered,373,200,0,OK
119,recovered,411,200,0,OK
137,recovered,302,200,0,OK
140,recovered,406,200,0,OK
142,recovered,359,200,0,OK
145,recovered,355,200,0,OK
146,recovered,354,200,0,OK
151,recovered,337,200,0,OK
154,recovered,543,200,0,OK
160,recovered,248,200,0,OK
162,recovered,287,200,0,OK
164,recovered,286,200,0,OK
165,recovered,288,200,0,OK
166,recovered,283,200,0,OK
167,recovered,282,200,0,OK
176,recovered,275,200,0,OK
178,recovered,280,200,0,OK
181,recovered,277,200,0,OK
184,recovered,276,200,0,OK
185,recovered,245,200,0,OK
187,recovered,281,200,0,OK
189,recovered,279,200,0,OK
191,recovered,269,200,0,OK
194,recovered,259,200,0,OK
195,recovered,260,200,0,OK
197,recovered,243,200,0,OK
199,recovered,257,200,0,OK
200,recovered,244,200,0,OK
203,recovered,267,200,0,OK
208,recovered,234,200,0,OK
211,recovered,231,200,0,OK
214,recovered,228,200,0,OK
215,recovered,230,200,0,OK
216,recovered,227,200,0,OK
220,recovered,223,200,0,OK
221,recovered,224,200,0,OK
225,recovered,205,200,0,OK
229,recovered,186-13,200,0,OK
232,recovered,186-9,200,0,OK
233,recovered,186-3,200,0,OK
235,recovered,186-6,200,0,OK
236,recovered,192,200,0,OK
237,recovered,188,200,0,OK
240,recovered,186-2,200,0,OK
243,recovered,147,200,0,OK
245,recovered,145,200,0,OK
251,recovered,185,200,0,OK
253,recovered,189,200,0,OK
256,recovered,182,200,0,OK
257,recovered,183,200,0,OK
259,recovered,150,200,0,OK
260,recovered,178,200,0,OK
261,recovered,177,200,0,OK
262,recovered,157,200,0,OK
264,recovered,217,200,0,OK
266,recovered,219,200,0,OK
268,recovered,214,200,0,OK
269,recovered,215,200,0,OK
272,recovered,207,200,0,OK
275,recovered,194,200,0,OK
281,recovered,211,200,0,OK
283,recovered,213,200,0,OK
287,recovered,176,200,0,OK
290,recovered,198,200,0,OK
291,recovered,172,200,0,OK
293,recovered,173,200,0,OK
297,recovered,170,200,0,OK
298,recovered,171,200,0,OK
299,recovered,532,200,0,OK
302,recovered,201,200,0,OK
352,recovered,295,200,0,OK
356,recovered,152,200,0,OK
360,recovered,154,200,0,OK
361,recovered,155,200,0,OK
363,recovered,131,200,0,OK
367,recovered,129,200,0,OK
369,recovered,127,200,0,OK
389,recovered,121,200,0,OK
393,recovered,112,200,0,OK
396,recovered,163,200,0,OK
397,recovered,165,200,0,OK
399,recovered,160,200,0,OK
400,recovered,161,200,0,OK
401,recovered,135,200,0,OK
415,recovered,100,200,0,OK
416,recovered,110,200,0,OK
418,recovered,92,200,0,OK
420,recovered,238,200,0,OK
421,recovered,97,200,0,OK
423,recovered,87,200,0,OK
424,recovered,86,200,0,OK
426,recovered,89,200,0,OK
427,recovered,84,200,0,OK
431,recovered,82,200,0,OK
432,recovered,80,200,0,OK
473,recovered,471,200,0,OK
489,recovered,525,200,0,OK
495,recovered,500,200,0,OK
496,recovered,528,200,0,OK
498,recovered,477,200,0,OK
562,empty,,200,0,ret=[]
563,empty,,200,0,ret=[]
564,empty,,200,0,ret=[]
565,empty,,200,0,ret=[]
566,empty,,200,0,ret=[]
567,empty,,200,0,ret=[]
568,empty,,200,0,ret=[]
569,empty,,200,0,ret=[]
570,empty,,200,0,ret=[]
571,empty,,200,0,ret=[]
572,empty,,200,0,ret=[]
573,empty,,200,0,ret=[]
574,empty,,200,0,ret=[]
575,empty,,200,0,ret=[]
576,empty,,200,0,ret=[]
577,empty,,200,0,ret=[]
578,empty,,200,0,ret=[]
579,empty,,200,0,ret=[]
580,empty,,200,0,ret=[]
581,empty,,200,0,ret=[]
582,empty,,200,0,ret=[]
583,empty,,200,0,ret=[]
584,empty,,200,0,ret=[]
585,empty,,200,0,ret=[]
586,empty,,200,0,ret=[]
587,empty,,200,0,ret=[]
588,empty,,200,0,ret=[]
589,empty,,200,0,ret=[]
590,empty,,200,0,ret=[]
591,empty,,200,0,ret=[]
592,empty,,200,0,ret=[]
593,empty,,200,0,ret=[]
594,empty,,200,0,ret=[]
595,empty,,200,0,ret=[]
596,empty,,200,0,ret=[]
597,empty,,200,0,ret=[]
598,empty,,200,0,ret=[]
599,empty,,200,0,ret=[]
600,empty,,200,0,ret=[]
