"JASID","自治体コード","遺跡番号","遺跡名","種類","所在地","時代","旧市番号","地図","経度","緯度","古墳"
14131000100,14131,"川崎区No.1","商工会議所","散布地","川崎区駅前本町11-2","古墳　近世","六郷橋?1",31,139.6993456,35.53167462,1
14131000400,14131,"川崎区No.4","小田貝塚","貝塚","川崎区小田1丁目","古墳　近世","—",32,139.7003724,35.51470437,1
14132000100,14132,"幸区No.1","塚越古墳・板碑","古墳 その他の墓","幸区塚越2-180","古墳　中世","小向-1",30,139.680023,35.546993,1
14132000200,14132,"幸区No.2","南加瀬横穴墓群","横穴墓","幸区南加瀬1-7-17付近","古墳","夢見ヶ崎-3",37,139.6681877,35.54636732,1
14132000400,14132,"幸区No.4","加瀬台古墳群","古墳","幸区北加瀬1-30ほか","縄文　弥生　古墳　中世","夢見ヶ崎-1・6",37,139.6658874,35.54914674,1
14132000500,14132,"幸区No.5","白山古墳","古墳","幸区南加瀬2-1","古墳　中世","夢見ヶ崎-5",37,139.6610809,35.5502082,1
14132000600,14132,"幸区No.6","第六天古墳","古墳","幸区南加瀬2-4","古墳","夢見ヶ崎-4",37,139.6602054,35.55027803,1
14132001000,14132,"幸区No.10","夢見ヶ崎横穴墓","横穴墓","幸区南加瀬1-2ほか","古墳","夢見ヶ崎-6",37,139.6657329,35.54984507,1
14132001100,14132,"幸区No.11","御嶽神社古墳","古墳","幸区塚越1-64（御嶽神社）","古墳","—",30,139.6788071,35.54656635,1
14133000100,14133,"中原区No.1","上丸子古墳","古墳","中原区丸子通1-408","古墳","丸子橋-1",34,139.6653748,35.58416175,1
14133000300,14133,"中原区No.3","銚子塚古墳","古墳","中原区田尻町2067","古墳","市ノ坪-1",36,139.6706639,35.56105593,1
14133000400,14133,"中原区No.4","","散布地","中原区井田2-4ほか","縄文　弥生　古墳","井田-1",42,139.646378,35.559574,1
14133000600,14133,"中原区No.6","井田横穴墓群","横穴墓","中原区井田2-33付近","古墳","井田-2",42,139.640396,35.562023,1
14133000700,14133,"中原区No.7","井田古墳","古墳","中原区井田3-3","古墳","井田-11",42,139.6380978,35.56063185,1
14133000800,14133,"中原区No.8","井田西遺跡、井田中原遺跡","集落跡","中原区井田3-34ほか","縄文　弥生　古墳　奈良　平安　中世","井田-4",42,139.6378521,35.5606025,1
14133000900,14133,"中原区No.9","黄金塚古墳","古墳","中原区宮内1-7","古墳","宮内-3",40,139.6421072,35.59353679,1
14133001000,14133,"中原区No.10","井田いりの上遺跡（神庭遺跡・東神庭遺跡）・井田伊勢台遺跡","集落跡","中原区井田3-13ほか","縄文　弥生　古墳","井田-8",42,139.6361184,35.56431702,1
14133001100,14133,"中原区No.11","井田中原遺跡","集落跡","中原区井田3-1485ほか　高津区蟹ヶ谷字池ノ里","縄文　弥生　古墳","井田-13",42,139.6344532,35.56205482,1
14133001200,14133,"中原区No.12","","横穴墓","中原区井田3-9付近","古墳","井田-9",42,139.6372685,35.56451251,1
14133001300,14133,"中原区No.13","井田伊勢宮前横穴墓群・井田金堀横穴墓群","横穴墓","中原区井田3-4ほか","古墳","井田-10",42,139.6403069,35.56300439,1
14133001500,14133,"中原区No.15","五領式壺出土","散布地","中原区宮内1-7","古墳","宮内-4",40,139.6424806,35.59389274,1
14133001700,14133,"中原区No.17","","横穴墓","中原区井田2-2","古墳","井田-17",42,139.6472077,35.55977858,1
14133001900,14133,"中原区No.19","宮内上河原耕地遺跡","散布地","中原区宮内1-7付近","古墳","—",40,139.6425664,35.59374967,1
14134000100,14134,"高津区No.1","諏訪天神塚古墳","古墳","高津区諏訪3-1","古墳","高津-2",46,139.6261757,35.60240047,1
14134000200,14134,"高津区No.2","諏訪浅間塚古墳","古墳","高津区諏訪3-19","古墳","高津-1",46,139.6270769,35.60178634,1
14134000300,14134,"高津区No.3","二子塚古墳","古墳","高津区二子6-5","古墳","高津-3",46,139.6214275,35.60043943,1
14134000400,14134,"高津区No.4","七面山北横穴墓・溝口西耕地横穴墓群","横穴墓","高津区溝口2-31","古墳","津田山-7",51,139.6086354,35.60347283,1
14134000500,14134,"高津区No.5","宗隆寺古墳群","古墳","高津区溝口2-28","古墳","津田山-8",51,139.6087888,35.60237369,1
14134000600,14134,"高津区No.6","七面山南横穴墓群","横穴墓","高津区下作延1-10","古墳","津田山-30",51,139.6085152,35.60202824,1
14134000700,14134,"高津区No.7","","横穴墓","高津区下作延1-13","古墳","津田山-29",51,139.6074037,35.60266331,1
14134000800,14134,"高津区No.8","法泉坊横穴","横穴墓","高津区久地1-1","古墳","津田山-27",51,139.6074763,35.60454043,1
14134000900,14134,"高津区No.9","久地西前田横穴墓群","横穴墓 集落跡","高津区久地1-1","弥生　古墳","津田山-41",51,139.6065772,35.60471489,1
14134001000,14134,"高津区No.10","西前田横穴墓群（久地浄元寺裏横穴墓群）","横穴墓","高津区久地1-31","古墳","津田山-2",51,139.6055834,35.6062565,1
14134001100,14134,"高津区No.11","浄元寺裏横穴墓","横穴墓","高津区久地1-28","古墳","津田山-25",51,139.6050169,35.60674498,1
14134001200,14134,"高津区No.12","久地神社裏横穴墓群","横穴墓","高津区久地1-39","古墳","津田山-l",50,139.6044761,35.60762861,1
14134001300,14134,"高津区No.13","久地不動台遺跡","集落跡","高津区久地1-27","古墳","津田山-26",51,139.6042187,35.60586048,1
14134001400,14134,"高津区No.14","津田山坂下横穴墓群","横穴墓","高津区下作延7-29","古墳","津田山-41",51,139.6064055,35.60401704,1
14134001500,14134,"高津区No.15","","横穴墓","高津区下作延7-27","古墳","津田山-28",51,139.6055966,35.60394028,1
14134001600,14134,"高津区No.16","","横穴墓","高津区下作延7-8","古墳","津田山-6",51,139.605469,35.602886,1
14134001700,14134,"高津区No.17","日向古墳","古墳","高津区下作延7-12","古墳","津田山-5",51,139.6039349,35.60363348,1
14134001800,14134,"高津区No.18","平瀬川隧道際横穴墓・平瀬川隧道際西横穴墓","横穴墓","高津区下作延7-12","古墳","津田山-32",51,139.603516,35.604122,1
14134001900,14134,"高津区No.19","日向横穴墓群","横穴墓","高津区下作延7-12","古墳","津田山-10",51,139.6033414,35.604598,1
14134002000,14134,"高津区No.20","中之橋横穴墓群","横穴墓","高津区下作延6-7","古墳","津田山-33",51,139.6024827,35.60382189,1
14134002200,14134,"高津区No.22","","散布地","高津区下作延6-32","古墳","津田山-31",50,139.5986611,35.60817814,1
14134002400,14134,"高津区No.24","久地伊屋之免遺跡・久地伊屋之免古墳","集落跡 古墳","高津区久地4-18","縄文　弥生　古墳","津田山-15",50,139.591995,35.608223,1
14134002500,14134,"高津区No.25","緑ヶ丘霊園内遺跡・ビシャモン塚","集落跡 古墳","高津区上作延5-7","縄文　弥生　古墳　平安","津田山-16",56,139.5887808,35.60728778,1
14134002600,14134,"高津区No.26","稲荷塚古墳","古墳","高津区下作延1605","古墳","津田山-17",51,139.592603,35.60665492,1
14134002800,14134,"高津区No.28","伊屋之免出土板碑","その他の墓","高津区下作延6-21","古墳","津田山-35",51,139.597473,35.60619,1
14134003000,14134,"高津区No.30","","横穴墓","高津区下作延1329ほか","古墳","津田山-37",51,139.595767,35.60200287,1
14134003100,14134,"高津区No.31","緑ヶ丘霊園内遺跡","集落跡","高津区上作延26-1","縄文　弥生　古墳","津田山-18",51,139.591476,35.604164,1
14134003200,14134,"高津区No.32","","横穴墓","高津区上作延60","古墳","津田山-20",57,139.5889306,35.60209533,1
14134003500,14134,"高津区No.35","","横穴墓","高津区下作延5-10","古墳","津田山-11",51,139.5992431,35.60026689,1
14134003600,14134,"高津区No.36","上作延横穴墓群","横穴墓","高津区下作延5-10","古墳","津田山-12",51,139.5993118,35.59971556,1
14134003700,14134,"高津区No.37","下作延巳ノ谷遺跡・下作延神明神社東南遺跡","集落跡","高津区下作延4-17","縄文　弥生　古墳　奈良　平安 中世","津田山-13",51,139.6034538,35.59948169,1
14134003800,14134,"高津区No.38","下作延遺跡","集落跡","高津区下作延2-31","弥生　古墳　奈良　平安","津田山-42",51,139.6049902,35.59868609,1
14134003900,14134,"高津区No.39","","散布地","高津区上作延722ほか","縄文　古墳　奈良　平安　中世","津田山-23",57,139.5875362,35.59823646,1
14134004100,14134,"高津区No.41","上作延南原遺跡","集落跡","高津区上作延796ほか","縄文　弥生　古墳　奈良　平安","宮崎-19",57,139.5894934,35.59682616,1
14134004200,14134,"高津区No.42","上作延南原古墳","古墳","高津区上作延814ほか","古墳","津田山-24",51,139.5914456,35.59846727,1
14134004300,14134,"高津区No.43","上作延南原遺跡","散布地","高津区上作延824ほか","縄文　弥生　古墳　奈良　平安","宮崎-18",57,139.5912615,35.59735657,1
14134005100,14134,"高津区No.51","下作延巳ノ谷遺跡・上作延南谷一遺跡","集落跡","高津区下作延4-51","縄文　弥生　古墳　奈良　平安","宮崎-7",51,139.6028573,35.59716465,1
14134005200,14134,"高津区No.52","久保台遺跡","集落跡","高津区末長1-6","縄文　弥生　古墳　奈良　平安","宮崎-1",51,139.606136,35.59564318,1
14134005500,14134,"高津区No.55","久本桃之園横穴墓群","横穴墓","高津区久本1-13","古墳","末長-3",51,139.6106593,35.59679999,1
14134005600,14134,"高津区No.56","久本横穴墓群","横穴墓","高津区久本1-16","古墳","末長-4",51,139.6121742,35.59650686,1
14134005700,14134,"高津区No.57","末長久保台北遺跡","集落跡 貝塚","高津区末長1-1","縄文　弥生　古墳　奈良　平安","末長-5",51,139.6108944,35.59494888,1
14134006100,14134,"高津区No.61","末長姿見台遺跡","集落跡","高津区末長1-40","弥生　古墳　奈良","宮崎-4",52,139.606254,35.59255901,1
14134006200,14134,"高津区No.62","法界塚古墳","古墳","高津区梶ヶ谷2-1-6","古墳","宮崎-22",52,139.6035074,35.59109329,1
14134006300,14134,"高津区No.63","清水谷古墳（１号墳）","古墳","高津区梶ヶ谷2-1-9","古墳","宮崎-23",52,139.6030439,35.59043022,1
14134006400,14134,"高津区No.64","","散布地","高津区梶ヶ谷2-10","古墳","宮崎-24",52,139.603043,35.588848,1
14134006500,14134,"高津区No.65","梶ヶ谷神明社上遺跡","集落跡","高津区梶ヶ谷4-14","弥生　古墳　奈良","宮崎-10",52,139.602127,35.586067,1
14134006600,14134,"高津区No.66","末長向台遺跡","集落跡","高津区末長1-41","縄文　古墳　奈良　平安","宮崎-5",52,139.6068376,35.59047908,1
14134006800,14134,"高津区No.68","西福寺古墳","古墳","高津区梶ヶ谷3-17","古墳","宮崎-6",52,139.607468,35.586037,1
14134006900,14134,"高津区No.69","大原遺跡・新作小高台遺跡","集落跡","高津区新作1-9","縄文　古墳　奈良　平安","末長-9",52,139.6106806,35.5874692,1
14134007000,14134,"高津区No.70","末長遺跡","集落跡","高津区末長2-25","弥生　古墳","末長-8",48,139.6134607,35.58958059,1
14134007400,14134,"高津区No.74","","散布地","高津区梶ヶ谷5-11","縄文　弥生　古墳　奈良　平安","馬絹-1",52,139.6079856,35.58330901,1
14134007500,14134,"高津区No.75","","集落跡","高津区新作2-3ほか","縄文　弥生　古墳　奈良　平安","千年-13",48,139.612686,35.583229,1
14134007600,14134,"高津区No.76","井田中原追跡","集落跡 その他の墓","高津区蟹ヶ谷字池ノ里ほか","縄文　弥生　古墳","井田-13",49,139.633698,35.562927,1
14134007700,14134,"高津区No.77","新作二丁目遺跡","集落跡","高津区新作2-15ほか","縄文　弥生　古墳　奈良　平安","千年-14",48,139.614258,35.582893,1
14134007800,14134,"高津区No.78","新作古墳","古墳","高津区新作2-7","古墳","千年-20",48,139.613129,35.582829,1
14134008000,14134,"高津区No.80","新作八幡神社裏古墳","古墳","高津区新作3-6","古墳","末長-13",48,139.61795,35.585133,1
14134008100,14134,"高津区No.81","間際根横穴墓群","横穴墓","高津区新作3-14ほか","古墳","末長-1",48,139.618195,35.586067,1
14134008200,14134,"高津区No.82","","散布地","高津区千年1243ほか","弥生　古墳","末長-17",48,139.6172981,35.58297599,1
